moneda_base,moneda_destino,valor_compra,valor_venta,fecha_hora,fecha_carga
BRL,OMR,0.0675352,0.0679886,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,PAB,0.172055,0.180115,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,PHP,10.0768,10.0795,2025-04-01 16:36:44,2025-04-01 21:24:28
BRL,PKR,49.0876,49.5834,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,PLN,0.67465,0.67538,2025-03-19 01:51:12,2025-04-01 21:24:28
BRL,QAR,0.617874,0.666456,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,RON,0.811001,0.812333,2025-04-01 16:36:27,2025-04-01 21:24:28
BRL,RUB,14.854,14.8905,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,SAR,0.659602,0.660883,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,SEK,1.75788,1.7622,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,THB,6.01894,6.02245,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,TRY,6.65519,6.67477,2025-04-01 16:36:14,2025-04-01 21:24:28
BRL,VEF,10.9478,10.949,2025-02-28 21:59:03,2025-04-01 21:24:28
BRL,XAF,105.632,105.669,2025-03-19 01:51:29,2025-04-01 21:24:28
BRL,XCD,0.473258,0.478058,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,XOF,106.939,106.996,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,ZAR,3.23915,3.24711,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,TWD,5.84988,5.85207,2025-04-01 16:36:45,2025-04-01 21:24:28
DKK,BRL,0.82229,0.822664,2025-04-01 16:36:58,2025-04-01 21:24:28
HKD,BRL,0.729345,0.731137,2025-04-01 16:36:04,2025-04-01 21:24:28
MXN,BRL,0.278697,0.279381,2025-04-01 16:36:04,2025-04-01 21:24:28
NOK,BRL,0.542981,0.543159,2025-04-01 16:36:45,2025-04-01 21:24:28
NZD,BRL,3.23259,3.2421,2025-04-01 16:36:14,2025-04-01 21:24:28
PLN,BRL,1.48065,1.48225,2025-03-19 01:51:12,2025-04-01 21:24:28
SAR,BRL,1.51305,1.51599,2025-04-01 16:36:45,2025-04-01 21:24:28
SEK,BRL,0.567473,0.568867,2025-04-01 16:36:04,2025-04-01 21:24:28
THB,BRL,0.166103,0.16619,2025-04-01 16:36:56,2025-04-01 21:24:28
TRY,BRL,0.149818,0.150259,2025-04-01 16:36:14,2025-04-01 21:24:28
TWD,BRL,0.170871,0.170935,2025-04-01 16:36:45,2025-04-01 21:24:28
VEF,BRL,0.0913,0.0914,2025-02-28 21:59:14,2025-04-01 21:24:28
ZAR,BRL,0.307966,0.308723,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,PYG,1385.16,1426.82,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,UYU,7.25854,7.44851,2025-04-01 11:19:06,2025-04-01 21:24:28
BRL,COP,733.43,733.83,2025-04-01 16:36:55,2025-04-01 21:24:28
BRL,PEN,0.6461,0.6467,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,BOB,1.17375,1.23496,2025-03-31 11:19:03,2025-04-01 21:24:28
CLP,BRL,0.00595455,0.00600745,2025-04-01 16:33:31,2025-04-01 21:24:28
PYG,BRL,0.00070763,0.00072892,2025-04-01 11:19:05,2025-04-01 21:24:28
UYU,BRL,0.134255,0.137769,2025-04-01 11:19:05,2025-04-01 21:24:28
COP,BRL,0.00135662,0.00135995,2025-04-01 16:36:04,2025-04-01 21:24:28
PEN,BRL,1.5441,1.54789,2025-04-01 16:36:04,2025-04-01 21:24:28
BOB,BRL,0.808266,0.85234,2025-04-01 11:19:04,2025-04-01 21:24:28
RUB,BRL,0.0671568,0.0673218,2025-04-01 16:36:04,2025-04-01 21:24:28
INR,BRL,0.0663421,0.0663686,2025-04-01 16:36:45,2025-04-01 21:24:28
EUR,GBP,0.83565,0.83575,2025-04-01 16:37:10,2025-04-01 21:24:28
EUR,JPY,161.405,161.42,2025-04-01 16:37:08,2025-04-01 21:24:28
EUR,CHF,0.95322,0.95326,2025-04-01 16:37:10,2025-04-01 21:24:28
EUR,AUD,1.72137,1.72155,2025-04-01 16:36:54,2025-04-01 21:24:28
EUR,CAD,1.54699,1.54717,2025-04-01 16:37:12,2025-04-01 21:24:28
EUR,NOK,11.2944,11.2978,2025-04-01 16:36:54,2025-04-01 21:24:28
EUR,DKK,7.4611,7.46205,2025-04-01 16:37:12,2025-04-01 21:24:28
EUR,PLN,4.18241,4.18386,2025-04-01 16:36:31,2025-04-01 21:24:28
EUR,NZD,1.89509,1.89519,2025-04-01 16:36:43,2025-04-01 21:24:28
EUR,SEK,10.7965,10.8,2025-04-01 16:36:36,2025-04-01 21:24:28
EUR,ILS,3.9925,3.9971,2025-04-01 15:00:43,2025-04-01 21:24:28
EUR,TRY,40.867,40.9108,2025-04-01 16:36:50,2025-04-01 21:24:28
EUR,THB,36.892,36.962,2025-04-01 16:31:35,2025-04-01 21:24:28
EUR,ZAR,19.9015,19.9113,2025-04-01 16:36:35,2025-04-01 21:24:28
EUR,MXN,21.9896,21.9962,2025-04-01 16:37:16,2025-04-01 21:24:28
EUR,SGD,1.45118,1.45139,2025-04-01 16:36:33,2025-04-01 21:24:28
EUR,HUF,401.691,401.903,2025-04-01 16:36:37,2025-04-01 21:24:28
EUR,HKD,8.4021,8.40274,2025-04-01 16:36:53,2025-04-01 21:24:28
EUR,CZK,24.9244,24.9586,2025-04-01 16:36:55,2025-04-01 21:24:28
EUR,KRW,1587.1,1590.1,2025-04-01 16:32:28,2025-04-01 21:24:28
BHD,EUR,2.43962,2.47586,2025-04-01 16:31:34,2025-04-01 21:24:28
EUR,AED,3.963,3.968,2025-04-01 16:31:35,2025-04-01 21:24:28
EUR,AFN,76.53,78.53,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,ALL,96.8,101.8,2025-04-01 01:00:05,2025-04-01 21:24:28
EUR,ANG,1.88342,1.98289,2025-04-01 16:36:45,2025-04-01 21:24:28
EUR,ARS,1158.56,1158.57,2025-04-01 16:36:36,2025-04-01 21:24:28
EUR,BAM,1.9458,1.9658,2025-04-01 01:00:04,2025-04-01 21:24:28
EUR,BBD,2.1303,2.2303,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,BDT,129.43,133.03,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,BGN,1.9483,1.9633,2025-04-01 16:11:25,2025-04-01 21:24:28
EUR,BHD,0.4039,0.4099,2025-04-01 16:31:34,2025-04-01 21:24:28
EUR,BIF,3181.3,3237.3,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,BND,1.4254,1.4754,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,BOB,7.262,7.662,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,BSD,1.0728,1.0868,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,BWP,14.663,14.983,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,BYN,3.5288,3.5388,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,BZD,2.119,2.219,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,CLP,1019.28,1019.48,2025-04-01 16:33:31,2025-04-01 21:24:28
EUR,CNY,7.83644,7.8386,2025-04-01 16:36:33,2025-04-01 21:24:28
EUR,COP,4466.7,4566.7,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,CRC,526.1,554.1,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,CUP,1.154,1.214,2025-03-19 15:19:03,2025-04-01 21:24:28
EUR,CVE,110.265,110.265,2025-03-04 16:09:04,2025-04-01 21:24:28
EUR,DJF,187.79,196.79,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,DOP,67.53,69.13,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,DZD,144.011,145.011,2025-04-01 16:31:35,2025-04-01 21:24:28
EUR,EGP,54.585,54.635,2025-04-01 16:33:08,2025-04-01 21:24:28
EUR,ETB,142.698,143.198,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,FJD,2.509,2.534,2025-04-01 16:31:34,2025-04-01 21:24:28
EUR,GHS,16.712,16.762,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,GMD,77.6464,77.6593,2025-03-05 19:48:32,2025-04-01 21:24:28
EUR,GNF,9254.0,9434.0,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,GTQ,8.133,8.533,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,HNL,27.128,28.128,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,HRK,7.3845,7.6845,2025-03-19 15:19:03,2025-04-01 21:24:28
EUR,HTG,140.59,142.59,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,IDR,17860.0,18320.0,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,INR,92.328,92.488,2025-04-01 16:35:56,2025-04-01 21:24:28
EUR,IQD,1384.6,1444.6,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,IRR,45354.9,45579.2,2025-04-01 16:36:45,2025-04-01 21:24:28
EUR,ISK,141.5,145.5,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,JMD,168.12,171.72,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,JOD,0.758,0.773,2025-04-01 16:11:26,2025-04-01 21:24:28
EUR,KES,138.01,141.01,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,KHR,4219.0,4419.0,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,KWD,0.33185,0.33385,2025-04-01 16:31:35,2025-04-01 21:24:28
EUR,KYD,0.8799,0.9199,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,KZT,540.61,546.61,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,LAK,23139.0,23639.0,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,LBP,96712.3,96792.3,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,LKR,316.21,323.21,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,LSL,19.6154,20.0754,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,LYD,5.192,5.252,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,MAD,10.0698,10.7498,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,MDL,19.061,19.661,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,MGA,4998.0,5098.0,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,MKD,61.075,61.975,2025-04-01 16:31:34,2025-04-01 21:24:28
EUR,MMK,3465.12,3509.12,2025-03-19 15:19:03,2025-04-01 21:24:28
EUR,MOP,8.4549,8.8549,2025-04-01 11:19:02,2025-04-01 21:24:28
EUR,MRO,40.676,42.076,2025-02-28 22:00:08,2025-04-01 21:24:28
EUR,MUR,47.76,50.76,2025-04-01 16:31:35,2025-04-01 21:24:28
EUR,MWK,1868.4,1876.4,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,MYR,4.7254,4.8854,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,NAD,19.6154,20.0754,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,NGN,1654.6,1660.6,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,NIO,39.24,40.24,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,NPR,146.329,149.729,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,OMR,0.41413,0.41713,2025-04-01 16:31:35,2025-04-01 21:24:28
EUR,PAB,1.0548,1.1048,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,PEN,3.9654,3.9674,2025-04-01 12:54:37,2025-04-01 21:24:28
EUR,PGK,4.373,4.533,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,PHP,61.653,61.953,2025-04-01 16:31:35,2025-04-01 21:24:28
EUR,PKR,300.94,304.14,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,PYG,8492.0,8752.0,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,QAR,3.788,4.088,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,RON,4.97694,4.9777,2025-04-01 15:00:21,2025-04-01 21:24:28
EUR,RSD,117.064,117.314,2025-04-01 16:31:35,2025-04-01 21:24:28
EUR,RWF,1524.8,1554.8,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,SAR,4.0479,4.0576,2025-04-01 16:32:40,2025-04-01 21:24:28
EUR,SCR,14.537,16.537,2025-04-01 15:25:12,2025-04-01 21:24:28
EUR,SDG,645.767,651.132,2025-04-01 16:36:45,2025-04-01 21:24:28
EUR,SOS,577.1,657.1,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,STD,24.49,25.0,2025-02-28 21:00:00,2025-04-01 21:24:28
EUR,SVC,9.208,9.688,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,SYP,13486.2,13499.2,2025-02-28 21:29:59,2025-04-01 21:24:28
EUR,SZL,19.631,20.031,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,TND,3.3401,3.3721,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,TTD,7.177,7.477,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,TWD,35.8916,35.9024,2025-04-01 16:36:48,2025-04-01 21:24:28
EUR,TZS,2800.7,2900.7,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,UAH,44.3899,44.9899,2025-04-01 11:19:05,2025-04-01 21:24:28
EUR,UGX,3901.0,3991.0,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,UYU,44.93,46.13,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,UZS,13935.0,14005.0,2025-04-01 11:19:04,2025-04-01 21:24:28
EUR,VEF,66.8168,66.8241,2025-02-28 22:00:08,2025-04-01 21:24:28
EUR,VND,27281.0,28081.0,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,XAF,655.451,655.517,2025-03-19 01:51:29,2025-04-01 21:24:28
EUR,XOF,656.267,656.303,2025-04-01 16:36:45,2025-04-01 21:24:28
EUR,XPF,119.33,119.33,2025-03-04 16:09:03,2025-04-01 21:24:28
EUR,ZMK,29.56,29.66,2025-02-28 22:00:08,2025-04-01 21:24:28
GHS,EUR,0.0596588,0.0598372,2025-04-01 11:19:03,2025-04-01 21:24:28
NZD,EUR,0.52759,0.52778,2025-04-01 16:36:54,2025-04-01 21:24:28
SGD,EUR,0.688966,0.689066,2025-04-01 16:37:17,2025-04-01 21:24:28
AED,EUR,0.252016,0.252334,2025-04-01 16:31:35,2025-04-01 21:24:28
DKK,EUR,0.134015,0.134033,2025-04-01 16:36:35,2025-04-01 21:24:28
EUR,XCD,2.95529,2.96563,2025-03-19 01:50:43,2025-04-01 21:24:28
HKD,EUR,0.119009,0.119018,2025-04-01 16:36:53,2025-04-01 21:24:28
MXN,EUR,0.0454388,0.0455058,2025-04-01 16:36:50,2025-04-01 21:24:28
NOK,EUR,0.0885062,0.0885243,2025-04-01 16:37:17,2025-04-01 21:24:28
PLN,EUR,0.239,0.23908,2025-04-01 16:36:55,2025-04-01 21:24:28
RUB,EUR,0.0109586,0.0109597,2025-04-01 16:37:17,2025-04-01 21:24:28
SAR,EUR,0.246609,0.247219,2025-04-01 16:31:34,2025-04-01 21:24:28
SEK,EUR,0.0926015,0.092614,2025-04-01 16:36:46,2025-04-01 21:24:28
TRY,EUR,0.02445,0.02448,2025-04-01 16:36:22,2025-04-01 21:24:28
TWD,EUR,0.0278533,0.0278616,2025-04-01 16:36:48,2025-04-01 21:24:28
VEF,EUR,0.01496,0.01497,2025-02-28 21:59:14,2025-04-01 21:24:28
ZAR,EUR,0.050227,0.050252,2025-04-01 16:37:15,2025-04-01 21:24:28
MAD,EUR,0.093025,0.099307,2025-04-01 11:19:05,2025-04-01 21:24:28
KRW,EUR,0.0006293,0.0006295,2025-04-01 16:36:39,2025-04-01 21:24:28
EGP,EUR,0.0183033,0.0183201,2025-04-01 16:33:08,2025-04-01 21:24:28
EUR,MZN,68.402,69.8079,2025-03-31 21:00:00,2025-04-01 21:24:28
INR,EUR,0.0108122,0.0108309,2025-04-01 16:35:56,2025-04-01 21:24:28
JOD,EUR,1.29,1.32,2025-04-01 16:11:26,2025-04-01 21:24:28
KWD,EUR,2.99536,3.01341,2025-04-01 16:31:35,2025-04-01 21:24:28
EUR,AZN,1.7658,1.7658,2025-02-28 22:00:08,2025-04-01 21:24:28
EUR,AMD,391.7,451.7,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,TJS,11.6397,11.8897,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,RUB,91.2437,91.2527,2025-04-01 16:37:17,2025-04-01 21:24:28
HUF,EUR,0.00248811,0.00248944,2025-04-01 16:36:43,2025-04-01 21:24:28
GEL,EUR,0.331308,0.33859,2025-03-31 21:00:00,2025-04-01 21:24:28
EUR,GEL,2.95343,3.01834,2025-03-31 21:00:00,2025-04-01 21:24:28
IDR,EUR,5.5e-05,5.6e-05,2025-04-01 11:19:03,2025-04-01 21:24:28
EUR,AOA,946.11,960.2,2025-02-28 21:29:59,2025-04-01 21:24:28
BYN,EUR,0.28258,0.28338,2025-04-01 11:19:04,2025-04-01 21:24:28
XAGG,EUR,0.9975,0.9985,2025-02-24 05:27:49,2025-04-01 21:24:28
PEN,EUR,0.2481,0.2561,2025-04-01 13:00:37,2025-04-01 21:24:28
XAU,USD,3108.7,3108.96,2025-04-01 16:37:13,2025-04-01 21:24:28
XAU,EUR,2878.56,2878.92,2025-04-01 16:37:10,2025-04-01 21:24:28
USD,BRLPTAX,5.7045,5.7051,2025-04-01 16:15:00,2025-04-01 21:24:28
NZD,JPY,85.159,85.184,2025-04-01 16:36:33,2025-04-01 21:24:28
GBP,JPY,193.133,193.15,2025-04-01 16:37:10,2025-04-01 21:24:28
GBP,CHF,1.14068,1.14074,2025-04-01 16:37:10,2025-04-01 21:24:28
XAU,BRL,17650.2,17653.8,2025-04-01 16:36:23,2025-04-01 21:24:28
CAD,JPY,104.323,104.333,2025-04-01 16:37:16,2025-04-01 21:24:28
CLP,EUR,0.000977,0.000985,2025-04-01 16:33:31,2025-04-01 21:24:28
CLP,BOB,0.00713461,0.00751461,2025-04-01 16:33:31,2025-04-01 21:24:28
XAG,EUR,31.0687,31.1463,2025-04-01 16:36:53,2025-04-01 21:24:28
XAG,USD,33.5792,33.5995,2025-04-01 16:36:53,2025-04-01 21:24:28
XAG,BRL,190.77,190.8,2025-04-01 16:36:23,2025-04-01 21:24:28
RSD,BRL,0.0521286,0.0525834,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,RSD,19.0164,19.1823,2025-04-01 16:36:45,2025-04-01 21:24:28
KRW,BRL,0.0038606,0.00386191,2025-04-01 16:36:39,2025-04-01 21:24:28
BRL,XAG,0.00524109,0.00524191,2025-04-01 16:36:23,2025-04-01 21:24:28
AUD,JPY,93.755,93.764,2025-04-01 16:37:15,2025-04-01 21:24:28
AUD,NZD,1.10085,1.10091,2025-04-01 16:36:35,2025-04-01 21:24:28
BRETT,USD,0.0435,0.04351,2025-02-24 16:58:55,2025-04-01 21:24:28
BRETT,BRL,0.25096,0.25102,2025-02-24 16:58:55,2025-04-01 21:24:28
BRETT,EUR,0.0415,0.04151,2025-02-24 16:58:55,2025-04-01 21:24:28
SOL,USD,128.68,128.69,2025-04-01 16:36:34,2025-04-01 21:24:28
SOL,BRL,733.0,733.5,2025-04-01 16:36:34,2025-04-01 21:24:28
SOL,EUR,119.18,119.19,2025-04-01 16:36:47,2025-04-01 21:24:28
BNB,USD,612.55,612.56,2025-04-01 16:36:53,2025-04-01 21:24:28
BNB,BRL,3490.0,3492.0,2025-04-01 16:37:06,2025-04-01 21:24:28
BNB,EUR,567.42,567.58,2025-04-01 16:37:00,2025-04-01 21:24:28
CHF,JPY,169.307,169.334,2025-04-01 16:37:08,2025-04-01 21:24:28
GBP,ZAR,23.8119,23.8245,2025-04-01 16:37:04,2025-04-01 21:24:28
AUD,CHF,0.553693,0.553711,2025-04-01 16:37:11,2025-04-01 21:24:28
GBP,AUD,2.05988,2.06012,2025-04-01 16:36:43,2025-04-01 21:24:28
ARS,CLP,0.86118,0.88526,2025-03-31 16:23:53,2025-04-01 21:24:28
ARS,PEN,0.00336889,0.00350649,2025-04-01 13:15:31,2025-04-01 21:24:28
CAD,UAH,28.6931,29.0801,2025-04-01 16:37:13,2025-04-01 21:24:28
EUR,BRLT,6.17131,6.37425,2025-04-01 16:36:04,2025-04-01 21:24:28
EUR,BRLPTAX,6.1597,6.1615,2025-04-01 16:15:00,2025-04-01 21:24:28
BRL,XAU,5.6645e-05,5.66566e-05,2025-04-01 16:36:23,2025-04-01 21:24:28
XCD,GBP,0.28483,0.287871,2025-04-01 16:36:48,2025-04-01 21:24:28
GBP,XCD,3.47378,3.51086,2025-04-01 16:36:48,2025-04-01 21:24:28
MXN,XCD,0.132096,0.13331,2025-04-01 16:36:55,2025-04-01 21:24:28
NZD,ILS,2.10523,2.10643,2025-04-01 16:36:46,2025-04-01 21:24:28
CRC,USD,0.00194783,0.0020515,2025-04-01 11:19:04,2025-04-01 21:24:28
CRC,BRL,0.0110693,0.0116523,2025-04-01 16:36:45,2025-04-01 21:24:28
PYG,ARS,0.132419,0.136454,2025-04-01 11:19:06,2025-04-01 21:24:28
RON,BRL,1.23102,1.23304,2025-04-01 16:36:27,2025-04-01 21:24:28
BRL,CRC,85.8153,90.3348,2025-04-01 16:36:45,2025-04-01 21:24:28
ILS,NZD,0.474744,0.475016,2025-04-01 16:36:54,2025-04-01 21:24:28
PYG,EUR,0.00011,0.00012,2025-04-01 11:19:05,2025-04-01 21:24:28
USD,KYD,0.815292,0.852355,2025-04-01 11:19:03,2025-04-01 21:24:28
XCD,USD,0.36807,0.372,2025-03-31 21:00:01,2025-04-01 21:24:28
RON,USD,0.216699,0.217169,2025-04-01 16:36:27,2025-04-01 21:24:28
EGP,BRL,0.11236,0.112403,2025-04-01 16:36:58,2025-04-01 21:24:28
XOF,USD,0.00164204,0.00165563,2025-03-31 21:00:01,2025-04-01 21:24:28
KES,USD,0.00765414,0.00782052,2025-04-01 11:19:05,2025-04-01 21:24:28
KES,BRL,0.0439241,0.0445859,2025-04-01 12:52:57,2025-04-01 21:24:28
PHP,BRL,0.0992109,0.0992382,2025-04-01 16:36:44,2025-04-01 21:24:28
HUF,BRL,0.0152539,0.0152833,2025-04-01 16:36:43,2025-04-01 21:24:28
CZK,USD,0.0432657,0.0433219,2025-04-01 16:37:17,2025-04-01 21:24:28
CZK,BRL,0.245959,0.246149,2025-04-01 16:37:07,2025-04-01 21:24:28
SDG,USD,0.00165837,0.00167224,2025-03-31 21:00:00,2025-04-01 21:24:28
XPF,USD,0.00899281,0.00906618,2025-03-31 21:00:00,2025-04-01 21:24:28
ANG,USD,0.544569,0.573361,2025-03-31 21:00:00,2025-04-01 21:24:28
